n,Un,Kn
1850,-4436.791536284508,1334.0748739614087
1860,-4469.474894706061,1366.7669003179597
1870,-4505.1208172102515,1402.430523848533
1880,-4472.088762208637,1369.4864439674325
1890,-4453.349646808174,1350.7699749788028
1900,-4460.605993379412,1357.8500580495838
1910,-4443.47264161601,1340.7179815403529
1920,-4452.388092778144,1349.7112329113452
1930,-4478.486114685924,1375.6945246390287
1940,-4437.4530731281375,1334.803457297497
1950,-4453.977439231757,1351.2010339375865
1960,-4427.252060297975,1324.631326509517
1970,-4450.504447180656,1347.7479727065502
1980,-4464.289156529312,1361.5331233974025
1990,-4441.822606098124,1339.114053869802
